Company Name,Industry,Symbol,Series,ISIN Code
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016
Affle (India) Ltd.,IT,AFFLE,EQ,INE00WC01019
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01021
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01018
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017
Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,EQ,INE596I01012
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Retail Ltd.,CONSUMER SERVICES,FRETAIL,EQ,INE752P01024
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,EQ,INE541A01023
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS,EQ,INE419U01012
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
Kajaria Ceramics Ltd.,CONSUMER GOODS,KAJARIACER,EQ,INE217B01036
Kec International Ltd.,POWER,KEC,EQ,INE389H01022
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01035
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012
PVR Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,PVR,EQ,INE191H01014
RITES Ltd.,SERVICES,RITES,EQ,INE320J01015
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Route Mobile Ltd.,IT,ROUTE,EQ,INE450U01017
Sterlite Technologies Ltd.,TELECOM,STLTECH,EQ,INE089C01029
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034
TV18 Broadcast Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TV18BRDCST,EQ,INE886H01027
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,EQ,INE594H01019
UTI Asset Management Company Ltd.,FINANCIAL SERVICES,UTIAMC,EQ,INE094J01016
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
